precinct_id,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
NEWTON - 17OXF,3230,123,3108,2081,809,1,99,0,48,66,44,12,5,46,121,852,2805,117,2683,1743,721,0,101,0,52,55,37,12,4,38,118,753
NEWTON - 18RP,5141,168,4964,2372,2283,0,71,0,0,229,9,0,0,8,72,2501,4010,40,3966,1882,1805,0,72,0,0,233,4,4,0,4,74,2035
NEWTON - 19BC,6641,734,5950,2519,2783,63,24,0,342,54,16,0,5,88,36,2809,4967,351,4630,2186,2004,70,11,0,170,18,16,0,7,96,24,2021
NEWTON - 20STN,6690,1122,5526,1500,3432,0,305,0,165,75,19,53,133,148,346,3665,4897,617,4268,1319,2458,1,254,0,125,71,11,54,133,142,295,2666
NEWTON - 23FV,4947,156,4807,567,3962,0,0,0,197,76,0,0,0,0,0,4017,3378,60,3318,431,2684,0,0,0,153,26,0,0,0,0,0,2712
NEWTON - 24CRW,6528,80,6368,948,4957,0,3,0,10,305,17,0,0,13,3,5282,4624,13,4533,704,3665,0,0,0,10,34,14,0,0,12,0,3703
NEWTON - 25HB,3128,145,2983,2545,357,0,0,0,0,0,50,0,55,121,0,418,2465,129,2323,1965,281,0,0,0,0,0,37,0,55,102,0,353
OCONEE - 01-CH,4985,178,4798,4481,179,3,41,0,0,15,43,24,0,43,66,197,3731,105,3616,3407,152,3,19,0,0,10,22,0,0,22,30,159
OCONEE - 02-CF,5139,228,4915,4571,157,0,33,0,0,3,182,0,0,181,33,162,3781,70,3725,3436,155,0,24,0,0,0,110,0,0,110,24,156
OCONEE - 03-BI,3897,215,3679,3222,137,13,196,0,0,2,50,51,1,64,260,133,2844,74,2746,2369,127,12,169,0,0,1,41,35,0,53,209,130
OCONEE - 04-NO,4333,453,3881,3609,56,0,52,0,0,1,125,50,2,129,105,58,3192,242,2947,2741,52,0,41,0,0,1,104,11,0,104,49,52
OCONEE - 05-DC,4428,56,4384,4236,77,30,75,0,0,0,10,0,0,34,77,76,3082,25,3069,2928,70,29,45,0,0,0,6,0,0,32,48,70
OCONEE - 06-BO,3150,168,2978,2544,93,16,60,0,0,28,221,0,0,243,60,122,2278,160,2116,1888,67,12,40,0,0,0,99,0,0,114,41,67
OCONEE - 07-MH,5508,54,5447,4799,73,0,369,0,23,27,102,0,0,98,369,102,3823,54,3767,3400,72,0,188,0,0,28,64,0,0,64,186,101
